periodo,materia,prova,notas
1,est.básica,2,1.9
1,est.básica,2,0.4
1,est.básica,2,8.6
1,est.básica,2,1.3
1,est.básica,2,1.4
1,est.básica,2,5.7
1,est.básica,2,7.1
1,est.básica,2,5.8
1,est.básica,2,3
1,est.básica,2,5.4
1,est.básica,2,0.5
1,est.básica,2,5.6
1,est.básica,2,7.5
1,est.básica,2,8.8
1,est.básica,2,4.9
1,est.básica,2,3.9
1,est.básica,2,8.3
1,est.básica,2,9.8
1,est.básica,2,6.1
1,est.básica,2,3.3
1,est.básica,2,3.9
1,est.básica,2,3.8
1,est.básica,2,3.1
1,est.básica,2,9.7
1,est.básica,2,6.6
